,Putere discriminare,p_values
texture_mean,51.090620126443696,8.433920228867464e-12
perimeter_mean,321.6967311564211,1.1102230246251565e-16
area_mean,256.2471306297587,1.1102230246251565e-16
smoothness_mean,48.05905007852003,3.104283496924154e-11
compactness_mean,143.78125915328582,1.1102230246251565e-16
concavity_mean,244.52049220291514,1.1102230246251565e-16
concave points_mean,371.5870736586383,1.1102230246251565e-16
symmetry_mean,33.15422086375905,2.335044235746153e-08
fractal_dimension_mean,0.02659917768466201,0.870568943658558
radius_se,121.03236395395164,1.1102230246251565e-16
texture_se,1.8612493081893615,0.1736295049077845
perimeter_se,110.0815462957002,1.1102230246251565e-16
area_se,111.49492226396823,1.1102230246251565e-16
smoothness_se,0.42592196244539343,0.5145582914518785
compactness_se,20.444082319396777,9.2394580541999e-06
concavity_se,30.047791811029605,9.758815255889175e-08
concave points_se,56.1124217951545,1.0036416142611415e-12
symmetry_se,0.05615522025546499,0.8128610573027691
fractal_dimension_se,1.8078704766812774,0.17990504012744635
radius_worst,395.50085547555403,1.1102230246251565e-16
texture_worst,78.05574363303067,1.1102230246251565e-16
perimeter_worst,410.6811956950679,1.1102230246251565e-16
area_worst,299.4205407133816,1.1102230246251565e-16
smoothness_worst,83.67773775009843,1.1102230246251565e-16
compactness_worst,132.818477304598,1.1102230246251565e-16
concavity_worst,219.56132626260126,1.1102230246251565e-16
concave points_worst,466.98964929988796,1.1102230246251565e-16
symmetry_worst,55.89148623865795,1.1013412404281553e-12
fractal_dimension_worst,35.38186055561896,8.468268974937132e-09
id,22.92095104993358,2.7996845400890535e-06
